字词频统计_语料库在线(www.cncorpus.org)
2018/3/7 22:06:17

序号		字词		出现次数		出现频率
44		people		27		0.2899
45		will		27		0.2899
46		from		25		0.2684
47		this		25		0.2684
48		do		24		0.2577
49		The		24		0.2577
50		Well		23		0.2469
51		all		23		0.2469
52		out		22		0.2362
53		time		22		0.2362
54		by		21		0.2255
55		had		21		0.2255
56		he		21		0.2255
57		make		21		0.2255
58		It		20		0.2147
59		just		20		0.2147
60		their		20		0.2147
61		which		20		0.2147
62		has		18		0.1933
63		new		18		0.1933
65		friends		17		0.1825
66		his		17		0.1825
67		what		17		0.1825
68		when		17		0.1825
69		who		17		0.1825
70		also		16		0.1718
71		But		16		0.1718
72		get		16		0.1718
73		would		16		0.1718
74		go		15		0.161
75		one		15		0.161
76		so		15		0.161
77		them		15		0.161
78		And		14		0.1503
79		been		14		0.1503
80		know		14		0.1503
81		like		14		0.1503
82		now		14		0.1503
83		other		14		0.1503
85		So		14		0.1503
86		some		14		0.1503
87		don		13		0.1396
88		how		13		0.1396
89		into		13		0.1396
90		kids		13		0.1396
91		much		13		0.1396
92		see		13		0.1396
93		team		13		0.1396
94		and		12		0.1288
95		Yes		12		0.1288
96		good		12		0.1288
97		help		12		0.1288
99		may		12		0.1288
100		own		12		0.1288
101		think		12		0.1288
102		up		12		0.1288
103		want		12		0.1288
104		advertising	11		0.1181
105		because		11		0.1181
106		does		11		0.1181
107		eyes		11		0.1181
108		need		11		0.1181
109		use		11		0.1181
110		I		10		0.1074
111		any		10		0.1074
112		better		10		0.1074
113		family		10		0.1074
114		find		10		0.1074
115		first		10		0.1074
116		If		10		0.1074
117		In		10		0.1074
118		life		10		0.1074
119		love		10		0.1074
120		might		10		0.1074
121		our		10		0.1074
122		really		10		0.1074
123		than		10		0.1074
124		then		10		0.1074
125		very		10		0.1074
126		were		10		0.1074
127		animals		9		0.0966
128		dog		9		0.0966
129		going		9		0.0966
130		holiday		9		0.0966
132		little		9		0.0966
133		me		9		0.0966
134		my		9		0.0966
135		something	9		0.0966
136		take		9		0.0966
137		years		9		0.0966
138		So		8		0.0859
139		the		8		0.0859
140		company		8		0.0859
141		could		8		0.0859
142		even		8		0.0859
143		experience	8		0.0859
144		goal		8		0.0859
145		high		8		0.0859
146		him		8		0.0859
147		its		8		0.0859
148		job		8		0.0859
149		let		8		0.0859
150		many		8		0.0859
151		most		8		0.0859
152		no		8		0.0859
153		only		8		0.0859
154		price		8		0.0859
155		program		8		0.0859
156		share		8		0.0859
157		speech		8		0.0859
158		today		8		0.0859
159		used		8		0.0859
163		after		7		0.0752
164		become		7		0.0752
165		called		7		0.0752
167		food		7		0.0752
168		give		7		0.0752
169		green		7		0.0752
170		holidays		7		0.0752
171		home		7		0.0752
172		local		7		0.0752
173		Now		7		0.0752
174		products		7		0.0752
175		same		7		0.0752
176		schools		7		0.0752
177		start		7		0.0752
178		States		7		0.0752
179		stories		7		0.0752
180		students		7		0.0752
181		three		7		0.0752
182		through		7		0.0752
183		us		7		0.0752
184		well		7		0.0752
185		work		7		0.0752
186		yourself		7		0.0752
187		on		6		0.0644
190		able		6		0.0644
191		African		6		0.0644
192		American	6		0.0644
193		away		6		0.0644
194		benefits	6		0.0644
195		change		6		0.0644
196		computer	6		0.0644
197		early		6		0.0644
199		For		6		0.0644
200		got		6		0.0644
201		information	6		0.0644
202		next		6		0.0644
203		old		6		0.0644
204		personal	6		0.0644
205		problem		6		0.0644
206		produce		6		0.0644
207		product		6		0.0644
208		say		6		0.0644
209		school		6		0.0644
210		services	6		0.0644
211		should		6		0.0644
212		sound		6		0.0644
213		still		6		0.0644
214		such		6		0.0644
215		talk		6		0.0644
216		these		6		0.0644
217		This		6		0.0644
218		two		6		0.0644
219		way		6		0.0644
220		why		6		0.0644
221		year		6		0.0644
222		yet		6		0.0644
223		Hello		5		0.0537
224		it		5		0.0537
226		to		5		0.0537
229		audience	5		0.0537
230		before		5		0.0537
231		being		5		0.0537
232		bird		5		0.0537
233		book		5		0.0537
234		car		5		0.0537
235		children	5		0.0537
236		close		5		0.0537
237		continue	5		0.0537
238		did		5		0.0537
240		door		5		0.0537
241		down		5		0.0537
243		each		5		0.0537
244		education	5		0.0537
245		elephant	5		0.0537
246		enough		5		0.0537
247		environment	5		0.0537
248		ever		5		0.0537
249		everyone	5		0.0537
250		example		5		0.0537
251		fact		5		0.0537
252		fantasy		5		0.0537
253		goes		5		0.0537
254		He		5		0.0537
255		here		5		0.0537
256		meet		5		0.0537
257		One		5		0.0537
258		position	5		0.0537
259		probably	5		0.0537
260		problems	5		0.0537
261		real		5		0.0537
262		road		5		0.0537
263		scientists	5		0.0537
264		sea		5		0.0537
265		She		5		0.0537
266		side		5		0.0537
267		speaker		5		0.0537
268		strategy	5		0.0537
270		University	5		0.0537
271		Well		5		0.0537
272		written		5		0.0537
