字词频统计_语料库在线(www.cncorpus.org)
2018/3/9 14:21:26

序号		字词		出现次数		出现频率
1		,		607		5.0474
2		.		547		4.5485
3		the		439		3.6504
4		to		345		2.8688
5		a		270		2.2451
6		and		237		1.9707
7		of		222		1.846
8		in		147		1.2224
9		you		147		1.2224
10		&#39;		128		1.0644
11		that		111		0.923
12		it		108		0.8981
13		is		101		0.8398
14		for		92		0.765
15		s		83		0.6902
16		on		74		0.6153
17		?		71		0.5904
18		be		71		0.5904
19		-		69		0.5738
20		have		65		0.5405
21		your		64		0.5322
22		are		58		0.4823
23		can		53		0.4407
24		with		53		0.4407
25		i		49		0.4075
26		’		48		0.3991
27		t		44		0.3659
28		from		43		0.3576
29		about		42		0.3492
30		an		42		0.3492
31		they		42		0.3492
32		was		42		0.3492
33		I		41		0.3409
34		but		40		0.3326
35		or		40		0.3326
36		as		39		0.3243
37		at		37		0.3077
38		not		36		0.2994
39		people		36		0.2994
40		this		35		0.291
41		more		34		0.2827
42		there		34		0.2827
43		The		33		0.2744
44		will		33		0.2744
45		do		32		0.2661
46		by		31		0.2578
47		if		31		0.2578
48		we		31		0.2578
49		all		30		0.2495
50		her		30		0.2495
51		out		30		0.2495
52		she		29		0.2411
53		their		28		0.2328
54		which		28		0.2328
55		&quot;		27		0.2245
56		had		26		0.2162
57		time		25		0.2079
58		It		24		0.1996
59		make		24		0.1996
60		new		24		0.1996
61		Well		23		0.1913
62		:		23		0.1913
63		has		23		0.1913
64		he		23		0.1913
65		would		23		0.1913
66		also		22		0.1829
67		like		22		0.1829
68		one		22		0.1829
69		some		22		0.1829
70		what		21		0.1746
71		when		21		0.1746
72		who		21		0.1746
73		get		20		0.1663
74		just		20		0.1663
75		now		19		0.158
76		re		19		0.158
77		been		18		0.1497
78		friends	18		0.1497
79		go		18		0.1497
80		other		18		0.1497
81		them		18		0.1497
82		And		17		0.1414
83		his		17		0.1414
84		how		17		0.1414
85		into		17		0.1414
86		so		17		0.1414
87		But		16		0.133
88		find		16		0.133
89		In		16		0.133
90		know		16		0.133
91		much		16		0.133
92		African	15		0.1247
93		food		15		0.1247
94		job		15		0.1247
95		ll		15		0.1247
96		see		15		0.1247
97		don		14		0.1164
98		good		14		0.1164
99		help		14		0.1164
100		its		14		0.1164
101		need		14		0.1164
102		So		14		0.1164
103		than		14		0.1164
104		up		14		0.1164
105		were		14		0.1164
106		year		14		0.1164
107		could		13		0.1081
108		first		13		0.1081
109		If		13		0.1081
110		kids		13		0.1081
111		life		13		0.1081
112		many		13		0.1081
113		team		13		0.1081
114		then		13		0.1081
115		want		13		0.1081
116		and		12		0.0998
117		Yes		12		0.0998
118		any		12		0.0998
119		because	12		0.0998
120		high		12		0.0998
121		holiday	12		0.0998
122		may		12		0.0998
123		Mediterranean		12		0.0998
124		my		12		0.0998
125		own		12		0.0998
126		really		12		0.0998
127		think		12		0.0998
128		use		12		0.0998
129		years		12		0.0998
130		The		11		0.0915
131		advertising		11		0.0915
132		diet		11		0.0915
133		does		11		0.0915
134		eyes		11		0.0915
135		family		11		0.0915
136		going		11		0.0915
137		love		11		0.0915
138		might		11		0.0915
139		our		11		0.0915
140		price		11		0.0915
141		take		11		0.0915
142		very		11		0.0915
143		You		11		0.0915
144		I		10		0.0832
145		American	10		0.0832
146		better		10		0.0832
147		company	10		0.0832
148		me		10		0.0832
149		only		10		0.0832
150		three		10		0.0832
151		today		10		0.0832
152		work		10		0.0832
153		M		9		0.0748
154		So		9		0.0748
155		;		9		0.0748
156		animals	9		0.0748
157		become		9		0.0748
158		career		9		0.0748
159		did		9		0.0748
160		dog		9		0.0748
161		even		9		0.0748
162		example	9		0.0748
163		give		9		0.0748
164		green		9		0.0748
165		isn		9		0.0748
166		let		9		0.0748
167		little		9		0.0748
168		most		9		0.0748
169		person		9		0.0748
